locality_symbol,שם יישוב,year,target_election,valid_votes,Other_raw_pct,Right_pct,Center_Left_pct,Haredi_pct,Arab_pct,אחוז עולי 1990+ מסך האוכלוסייה,ערבים (אחוזים מתוך כלל אוכלוסיית הישראלים),gini_wage_2019,עובדי הוראה ממוצע שעות עבודה שבועיות לתלמיד,"אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים כללית",avg_monthly_wage,גיל ממוצע של מקבלי דמי אבטלה (לא כולל חיילים),השכלה גבוהה אחוז סטודנטים מתוך אוכלוסיית בני 25-20,gender_wage_ratio,"צפיפות אוכלוסייה לקמ''ר ביישובים שמנו 5,000 תושבים ויותר","ריבוי טבעי ל-1,000 תושבים",אחוז באוכלוסייה בסוף השנה בני 4-0,אחוז באוכלוסייה בסוף השנה בני 44-30,"נישאים שיעור ל-1,000 תושבים לא נשואים בני 15 ומעלה",השכלה גבוהה אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 55-35,"מספר ילדים שבגינם שולמו קצבאות במשפחות עם 5 ילדים ויותר ל-1,000 תושבים",אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושאירים,אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,עובדי הוראה אחוז בעלי דרגת שכר תואר שני ומעלה,אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,"יחס תלות (ל-1,000 תושבים בלתי תלויים)",עובדי הוראה ממוצע שעות עבודה לשבוע,אחוז באוכלוסייה בסוף השנה בני 59-45,מקבלי דמי אבטלה (ממוצע חודשי) גברים,יהודים (אחוזים מתוך יהודים ואחרים),מוסלמים (אחוזים מתוך האוכלוסייה הערבית),יהודים ואחרים (אחוזים מתוך כלל אוכלוסיית הישראלים),נכנסים מיישובים אחרים גיל 64-30,type_Arab/Non-Jewish,type_Cities,type_Kibbutzim,type_Moshavim,type_other,type_Druze_Majority
490,דייר אל-אסד,2022,Knesset_25,6154,0.1624959376015599,0.6184895833333333,2.506510416666667,2.311197916666667,94.56380208333334,0.01,100.0,0.39,2.7,77.9,9185.03,38.73,20.4,1.6444810002132146,2536.5,14.07,8.8,19.51,46.7,16.34,25.53885844361303,33.87,58.96,49.2,80.88,780.0,32.72,15.08,30.17,,99.9,,24,1,0,0,0,0,0
492,דייר חנא,2019,Knesset_21,5349,0.616937745372967,3.950338600451468,4.3453724604966135,2.4642588412340105,89.24003009781791,0.3,99.9,0.39,2.61,69.8,6896.15,41.0,21.28,1.636493924643318,1191.2,12.53,7.5,21.59,34.5,15.33,21.839405064482726,42.23,67.98,40.5,89.33,686.3,32.1,16.94,72.0,20.5,90.4,0.1,54,1,0,0,0,0,0
492,דייר חנא,2019,Knesset_22,5530,0.3616636528028933,0.6533575317604355,3.5934664246823957,1.9782214156079851,93.7749546279492,0.3,99.9,0.39,2.61,69.8,6896.15,41.0,21.28,1.636493924643318,1191.2,12.53,7.5,21.59,34.5,15.33,21.839405064482726,42.23,67.98,40.5,89.33,686.3,32.1,16.94,72.0,20.5,90.4,0.1,54,1,0,0,0,0,0
492,דייר חנא,2020,Knesset_23,5851,0.1196376687745684,0.5133470225872689,1.48870636550308,0.9753593429158112,97.02258726899385,0.0,99.9,0.39,2.85,70.1,6823.005253283302,36.77,22.07,1.6465328829723822,1175.9,12.0,8.32,19.91,47.1,15.7,20.69425901201602,40.5,77.27,24.48,90.91,722.0,32.6,16.61,583.0,20.5,90.1,0.1,19,1,0,0,0,0,0
492,דייר חנא,2021,Knesset_24,5042,0.1785005950019833,2.7220345718259487,3.198887343532685,1.9471488178025036,92.13192926683888,0.03,99.9,0.39,2.92,70.6,8559.49,38.0,26.1,1.55072957603568,1188.4,11.19,7.92,20.26,31.2,16.63,17.077082743655062,39.43,80.31,48.8,87.56,698.0,32.5,16.63,426.0,20.5,90.1,0.1,20,1,0,0,0,0,0
492,דייר חנא,2022,Knesset_25,5277,0.3600530604510138,0.893875998478509,1.6356028908330162,2.415367059718524,95.05515405096996,0.03,99.9,0.39,3.04,71.2,8952.05,39.23,27.9,1.5959835439941767,1205.1,14.9,7.6,20.45,46.6,18.22,13.305432245110254,39.89,65.22,61.21,89.13,687.0,32.92,16.72,49.42,,89.9,,12,1,0,0,0,0,0
494,דאלית אל-כרמל,2019,Knesset_21,7404,1.7423014586709886,27.505154639175256,69.8831615120275,0.5223367697594502,2.089347079037801,0.4,99.6,0.4,2.33,49.0,8106.3,39.0,14.34,1.9856524481678877,1418.1,10.56,7.2,21.63,46.2,14.85,3.08710033076075,23.83,62.86,46.9,82.45,646.4,30.8,19.49,81.0,59.7,2.7,0.4,111,1,0,0,0,0,1
494,דאלית אל-כרמל,2019,Knesset_22,7416,0.4719525350593311,4.362552499661292,90.09619292778756,1.029670776317572,4.511583796233572,0.4,99.6,0.4,2.33,49.0,8106.3,39.0,14.34,1.9856524481678877,1418.1,10.56,7.2,21.63,46.2,14.85,3.08710033076075,23.83,62.86,46.9,82.45,646.4,30.8,19.49,81.0,59.7,2.7,0.4,111,1,0,0,0,0,1
494,דאלית אל-כרמל,2020,Knesset_23,7102,0.3097718952407772,6.3276836158192085,84.16666666666667,0.3248587570621469,9.180790960451978,0.1,99.7,0.4,3.16,49.1,8102.099171998495,37.98,17.41,2.1331860184813176,1824.1,10.08,7.6,22.03,59.4,15.9,3.1344453151236986,23.09,70.27,27.57,86.87,645.0,31.4,18.62,465.0,59.7,2.9,0.4,48,1,0,0,0,0,1
494,דאלית אל-כרמל,2021,Knesset_24,5136,1.2461059190031152,14.274447949526811,75.43375394321767,2.109621451104101,8.18217665615142,0.13,99.7,0.4,3.28,49.2,9099.97,39.0,18.1,1.849152507308441,1719.5,10.63,7.42,21.78,38.4,16.87,3.5989147887713857,22.12,69.43,56.91,89.06,649.0,32.2,18.85,332.0,59.7,2.8,0.4,40,1,0,0,0,0,1
