tuning_scope,feature_set,alpha,shrinkage,inner_fold_count,mean_inner_fold_mae,median_inner_fold_mae,worst_inner_fold_mae,best_inner_fold_mae,mean_active_features,minimum_active_features,maximum_active_features
outer_test=K21_to_K22,history_plus_dynamic_socio,100.0,0.25,3,6.738429730872226,7.0636384776735,9.750694925408462,3.4009557895347178,91.66666666666667,90,94
outer_test=K21_to_K22,history_plus_dynamic_socio,10.0,0.25,3,6.870613594521842,7.0789473103613,10.060969224710131,3.471924248494093,91.66666666666667,90,94
outer_test=K21_to_K22,history_plus_dynamic_socio,1000.0,0.5,3,8.58576509743707,9.225641945439753,12.287257046522088,4.244396300349368,91.66666666666667,90,94
outer_test=K21_to_K22,history_plus_dynamic_socio,100.0,0.5,3,10.735573654472047,10.822132073592071,16.03348798956717,5.351100900256897,91.66666666666667,90,94
outer_test=K21_to_K22,history_plus_dynamic_socio,10.0,0.5,3,11.033614018845805,10.916180704038318,16.60513434642365,5.579527006075449,91.66666666666667,90,94
outer_test=K21_to_K22,history_plus_dynamic_socio,1000.0,1.0,3,14.435913564209914,14.945950532020085,20.10968162753771,8.252108533071947,91.66666666666667,90,94
outer_test=K21_to_K22,history_plus_dynamic_socio,100.0,1.0,3,17.280551390797502,17.027739974992112,23.965666979258316,10.84824721814207,91.66666666666667,90,94
outer_test=K21_to_K22,history_plus_dynamic_socio,10.0,1.0,3,17.70094104033265,17.415044396031476,24.36348278320143,11.324295941765042,91.66666666666667,90,94
outer_test=K21_to_K22,history_plus_nonidentity_levels_and_dynamic,1000.0,0.25,3,5.816479522225694,6.380397776659786,7.913312121134503,3.1557286688827935,171.66666666666666,170,174
outer_test=K21_to_K22,history_plus_nonidentity_levels_and_dynamic,100.0,0.25,3,6.6873851957147314,6.94632457333639,9.755837824785626,3.359993189022177,171.66666666666666,170,174
outer_test=K21_to_K22,history_plus_nonidentity_levels_and_dynamic,10.0,0.25,3,6.8324076472426905,6.963590497580529,10.051413848756614,3.482218595390928,171.66666666666666,170,174
outer_test=K21_to_K22,history_plus_nonidentity_levels_and_dynamic,1000.0,0.5,3,8.48251790751718,9.0187269328208,12.203299277492947,4.225527512237794,171.66666666666666,170,174
outer_test=K21_to_K22,history_plus_nonidentity_levels_and_dynamic,100.0,0.5,3,10.51116931513948,10.423506246683813,15.933837306124415,5.176164392610212,171.66666666666666,170,174
outer_test=K21_to_K22,history_plus_nonidentity_levels_and_dynamic,10.0,0.5,3,10.845295825596907,10.537217881251529,16.475969542184192,5.522700053355003,171.66666666666666,170,174
outer_test=K21_to_K22,history_plus_nonidentity_levels_and_dynamic,1000.0,1.0,3,14.156439220171611,14.576133278910998,19.786964372460254,8.106220009143586,171.66666666666666,170,174
outer_test=K21_to_K22,history_plus_nonidentity_levels_and_dynamic,100.0,1.0,3,16.99678418632683,16.63513970623212,23.68477143643602,10.670441416312356,171.66666666666666,170,174
outer_test=K21_to_K22,history_plus_nonidentity_levels_and_dynamic,10.0,1.0,3,17.44925007774812,16.855175744051426,24.108397204902943,11.384177284289994,171.66666666666666,170,174
outer_test=K21_to_K22,history_plus_all_socio_sensitivity,1000.0,0.25,3,5.817363583037138,6.38010465266413,7.913747098861567,3.158238997585717,173.66666666666666,172,176
outer_test=K21_to_K22,history_plus_all_socio_sensitivity,100.0,0.25,3,6.688013842990746,6.9454042088812935,9.756101042061868,3.3625362780290793,173.66666666666666,172,176
outer_test=K21_to_K22,history_plus_all_socio_sensitivity,10.0,0.25,3,6.832612705935868,6.961965413844947,10.049316574097034,3.4865561298656234,173.66666666666666,172,176
outer_test=K21_to_K22,history_plus_all_socio_sensitivity,1000.0,0.5,3,8.483857604597572,9.018218010916877,12.203428039774707,4.229926763101136,173.66666666666666,172,176
outer_test=K21_to_K22,history_plus_all_socio_sensitivity,100.0,0.5,3,10.512139977501494,10.420534220185786,15.934789737029554,5.181095975289143,173.66666666666666,172,176
outer_test=K21_to_K22,history_plus_all_socio_sensitivity,10.0,0.5,3,10.845865806673096,10.533753457776944,16.472992907936337,5.530851054306007,173.66666666666666,172,176
outer_test=K21_to_K22,history_plus_all_socio_sensitivity,1000.0,1.0,3,14.15578587884516,14.571609259608616,19.786634345510695,8.109114031416167,173.66666666666666,172,176
outer_test=K21_to_K22,history_plus_all_socio_sensitivity,100.0,1.0,3,16.997518617930094,16.627522725257027,23.685128702637996,10.679904425895266,173.66666666666666,172,176
outer_test=K21_to_K22,history_plus_all_socio_sensitivity,10.0,1.0,3,17.450858063915383,16.850523773488696,24.105849103374453,11.396201314883003,173.66666666666666,172,176
outer_test=K21_to_K22,history_plus_locality_identity_diagnostic,1000.0,0.25,3,5.697664775345757,6.178894654135263,7.561002213451441,3.353097458450567,235.66666666666666,234,238
outer_test=K21_to_K22,history_plus_locality_identity_diagnostic,100.0,0.25,3,6.465870818010977,6.557232258100355,9.236028164692286,3.6043520312402872,235.66666666666666,234,238
outer_test=K21_to_K22,history_plus_locality_identity_diagnostic,10.0,0.25,3,6.57468958403312,6.51379981468275,9.499842389191489,3.710426548225119,235.66666666666666,234,238
outer_test=K21_to_K22,history_plus_locality_identity_diagnostic,1000.0,0.5,3,7.944572752121264,8.268318482197913,11.3732062249058,4.192193549260079,235.66666666666666,234,238
outer_test=K21_to_K22,history_plus_locality_identity_diagnostic,100.0,0.5,3,9.642417266934102,9.055841009897735,14.82879577051864,5.04261502038593,235.66666666666666,234,238
outer_test=K21_to_K22,history_plus_locality_identity_diagnostic,10.0,0.5,3,9.894475618403618,9.057920001212977,15.312593612586618,5.312913241411261,235.66666666666666,234,238
outer_test=K21_to_K22,history_plus_locality_identity_diagnostic,1000.0,1.0,3,12.966492114395017,12.882796288172571,18.745654576194354,7.271025478818123,235.66666666666666,234,238
outer_test=K21_to_K22,history_plus_locality_identity_diagnostic,100.0,1.0,3,15.4419192218916,14.001370343600561,22.47908793104314,9.845299391031098,235.66666666666666,234,238
outer_test=K21_to_K22,history_plus_locality_identity_diagnostic,10.0,1.0,3,15.766419234138127,13.953702706699273,22.84425332441426,10.501301671300844,235.66666666666666,234,238
outer_test=K22_to_K23,history_only,1000.0,0.25,4,5.554151738104316,5.476059463015853,8.236169333092414,3.0283186932931474,9.75,9,10
outer_test=K22_to_K23,history_only,100.0,0.25,4,6.091378401962844,5.707530049735864,9.681023848975544,3.2694296594041066,9.75,9,10
outer_test=K22_to_K23,history_only,10.0,0.25,4,6.164651791379582,5.732455093491932,9.882805405656084,3.310891572878379,9.75,9,10
outer_test=K22_to_K23,history_only,1000.0,0.5,4,7.972037577462653,7.616734907905881,12.673806102425727,3.9808743916131233,9.75,9,10
outer_test=K22_to_K23,history_only,100.0,0.5,4,9.276164904418115,8.227652410733489,15.716308769426618,4.933046026778864,9.75,9,10
outer_test=K22_to_K23,history_only,10.0,0.5,4,9.447136720043119,8.293893138207642,16.11619209098725,5.084568512769946,9.75,9,10
outer_test=K22_to_K23,history_only,1000.0,1.0,4,13.097429747764393,11.797167863627184,20.667029078528227,8.128354185274981,9.75,9,10
outer_test=K22_to_K23,history_only,100.0,1.0,4,15.094408100681228,13.409006212433813,23.82409635157746,9.735523626279832,9.75,9,10
outer_test=K22_to_K23,history_only,10.0,1.0,4,15.320920089871516,13.653081616589912,24.137144226596117,9.840372899710118,9.75,9,10
outer_test=K22_to_K23,history_plus_dynamic_socio,1000.0,0.25,4,5.561452640481394,5.570817889284125,7.975000547561403,3.129174235795921,92.25,90,94
outer_test=K22_to_K23,history_plus_dynamic_socio,100.0,0.25,4,6.280317222876789,5.98480908828199,9.750694925408462,3.4009557895347178,92.25,90,94
outer_test=K22_to_K23,history_plus_dynamic_socio,10.0,0.25,4,6.380549151511857,5.9946515664216005,10.060969224710131,3.471924248494093,92.25,90,94
outer_test=K22_to_K23,history_plus_dynamic_socio,1000.0,0.5,4,8.0844947308015,7.903162788167274,12.287257046522088,4.244396300349368,92.25,90,94
outer_test=K22_to_K23,history_plus_dynamic_socio,100.0,0.5,4,9.795205843586002,8.898117242259971,16.03348798956717,5.351100900256897,92.25,90,94
outer_test=K22_to_K23,history_plus_dynamic_socio,10.0,0.5,4,10.021800588556712,8.951270500863872,16.60513434642365,5.579527006075449,92.25,90,94
outer_test=K22_to_K23,history_plus_dynamic_socio,1000.0,1.0,4,13.104422531115349,12.027949981925868,20.10968162753771,8.252108533071947,92.25,90,94
outer_test=K22_to_K23,history_plus_dynamic_socio,100.0,1.0,4,15.429335137913467,13.937993596567091,23.965666979258316,9.875686379261367,92.25,90,94
outer_test=K22_to_K23,history_plus_dynamic_socio,10.0,1.0,4,15.760633664870046,14.36967016889826,24.36348278320143,9.93971153848223,92.25,90,94
outer_test=K22_to_K23,history_plus_nonidentity_levels_and_dynamic,1000.0,0.25,4,5.549185130737,5.563849866465352,7.913312121134503,3.1557286688827935,185.75,170,228
outer_test=K22_to_K23,history_plus_nonidentity_levels_and_dynamic,100.0,0.25,4,6.22561177932146,5.893308051739018,9.755837824785626,3.359993189022177,185.75,170,228
outer_test=K22_to_K23,history_plus_nonidentity_levels_and_dynamic,10.0,0.25,4,6.335423623205677,5.904031024337582,10.051413848756614,3.482218595390928,185.75,170,228
outer_test=K22_to_K23,history_plus_nonidentity_levels_and_dynamic,1000.0,0.5,4,7.979703936288574,7.744994477711778,12.203299277492947,4.225527512237794,185.75,170,228
outer_test=K22_to_K23,history_plus_nonidentity_levels_and_dynamic,100.0,0.5,4,9.57272109487176,8.590441340376206,15.933837306124415,5.176164392610212,185.75,170,228
outer_test=K22_to_K23,history_plus_nonidentity_levels_and_dynamic,10.0,0.5,4,9.827462797629405,8.655590797489214,16.475969542184192,5.522700053355003,185.75,170,228
outer_test=K22_to_K23,history_plus_nonidentity_levels_and_dynamic,1000.0,1.0,4,12.83116502595099,11.715737861100063,19.786964372460254,8.106220009143586,185.75,170,228
outer_test=K22_to_K23,history_plus_nonidentity_levels_and_dynamic,100.0,1.0,4,15.149249082198246,13.652790561272237,23.68477143643602,9.606643769812484,185.75,170,228
outer_test=K22_to_K23,history_plus_nonidentity_levels_and_dynamic,10.0,1.0,4,15.513292623262618,14.11967651417071,24.108397204902943,9.705420259806115,185.75,170,228
outer_test=K22_to_K23,history_plus_all_socio_sensitivity,1000.0,0.25,4,5.549509973828525,5.5630268994334084,7.913747098861567,3.158238997585717,187.75,172,230
outer_test=K22_to_K23,history_plus_all_socio_sensitivity,100.0,0.25,4,6.225929332914773,5.892540005784072,9.756101042061868,3.3625362780290793,187.75,172,230
outer_test=K22_to_K23,history_plus_all_socio_sensitivity,10.0,0.25,4,6.335476375646714,5.903016399312098,10.049316574097034,3.4865561298656234,187.75,172,230
outer_test=K22_to_K23,history_plus_all_socio_sensitivity,1000.0,0.5,4,7.980176858490045,7.743676315542169,12.203428039774707,4.229926763101136,187.75,172,230
outer_test=K22_to_K23,history_plus_all_socio_sensitivity,100.0,0.5,4,9.573294431234372,8.588646006309393,15.934789737029554,5.181095975289143,187.75,172,230
outer_test=K22_to_K23,history_plus_all_socio_sensitivity,10.0,0.5,4,9.827913475166454,8.653904969211734,16.472992907936337,5.530851054306007,187.75,172,230
outer_test=K22_to_K23,history_plus_all_socio_sensitivity,1000.0,1.0,4,12.830283418226081,11.712692647988728,19.786634345510695,8.109114031416167,187.75,172,230
