feature_set,target_bloc,feature,folds_present,mean_effective_coefficient,mean_absolute_effective_coefficient,coefficient_standard_deviation,positive_fold_share
history_plus_all_socio_sensitivity,Arab,missing__demographic__יוצאים_ליישובים_אחרים_גיל_65_ומעלה__level,1,-0.010219725863032799,0.010219725863032799,,0.0
history_plus_all_socio_sensitivity,Arab,unemployment__מקבלי_גמלאות_סיעוד_סוף_שנה__level,5,-0.010168246033040519,0.010168246033040517,0.002681833131936285,0.0
history_plus_all_socio_sensitivity,Arab,missing__unemployment__מקבלי_גמלת_הבטחת_הכנסה_נפשות_במשך_השנה__annualized_change,5,0.010062959572922062,0.010062959572922064,0.007331166257667143,1.0
history_plus_all_socio_sensitivity,Arab,demographic__נישאים_שיעור_ל_1_000_תושבים_לא_נשואים_בני_15_ומעלה__level,1,-0.010061826788434765,0.010061826788434765,,0.0
history_plus_all_socio_sensitivity,Arab,education__השכלה_גבוהה_אחוז_בעלי_תארים_מישראל_מתוך_אוכלוסיית_בני_55_35__level,1,0.009880472337694766,0.009880472337694766,,1.0
history_plus_all_socio_sensitivity,Arab,missing__demographic__אחוז_עולים_בהשתקעות_ראשונה_בני_64_45__level,1,0.009832736878859263,0.009832736878859263,,1.0
history_plus_all_socio_sensitivity,Arab,income__אחוז_שינוי_ריאלי_לעומת_השנה_הקודמת_של_שכר_ממוצע_לחודש_של_שכירים_נשים__level,5,-0.009818126551037674,0.009818126551037674,0.000732010881553548,0.0
history_plus_all_socio_sensitivity,Arab,unemployment__snapshot_age_years,5,0.007234015983153835,0.009807914064725457,0.010030887283958971,0.8
history_plus_all_socio_sensitivity,Arab,education__עובדי_הוראה_אחוז_עובדי_הוראה_חדשים__level,1,-0.009791256730690229,0.009791256730690229,,0.0
history_plus_all_socio_sensitivity,Arab,missing__demographic__אחוז_עולי_1990_מסך_האוכלוסייה__level,5,0.009681228849036282,0.009681228849036282,0.002346685204311687,1.0
history_plus_all_socio_sensitivity,Arab,education__אחוז_תלמידים_נושרים_סה_כ__level,1,-0.0096707503842602,0.0096707503842602,,0.0
history_plus_all_socio_sensitivity,Arab,income__אחוז_שינוי_ריאלי_לעומת_השנה_הקודמת_של_שכר_ממוצע_לחודש_של_שכירים_גברים__level,5,0.009651781157362527,0.009651781157362526,0.00237822655786613,1.0
history_plus_all_socio_sensitivity,Arab,unemployment__מספר_ילדים_שבגינם_שולמו_קצבאות_במשפחות_עם_2_1_ילדים__annualized_change,5,0.009574624290081685,0.009574624290081685,0.0037168863921877055,1.0
history_plus_all_socio_sensitivity,Arab,demographic__אחוז_באוכלוסייה_בסוף_השנה_בני_14_10__level,1,-0.00939343743023354,0.00939343743023354,,0.0
history_plus_all_socio_sensitivity,Arab,income__הכנסה_ממוצעת_לחודש_של_העצמאים_ש_ח__annualized_change,5,0.00928218059325291,0.00928218059325291,0.006965753201688877,1.0
history_plus_all_socio_sensitivity,Arab,income__מספר_העצמאים__level,5,0.009151262337378879,0.00915126233737888,0.0030612139979505114,1.0
history_plus_all_socio_sensitivity,Arab,income__שכר_ממוצע_לחודש_של_שכירים_ש_ח_כלל_השכירים__level,5,0.009104177770041511,0.00910417777004151,0.001753511701894096,1.0
history_plus_all_socio_sensitivity,Arab,income__שכר_ממוצע_לחודש_של_שכירים_ש_ח_גברים__level,5,0.009074113303550006,0.009074113303550005,0.0024167904286691226,1.0
