feature,training_missing_pct,feature_role,source
"current_feature__demographic__נכנסים מיישובים אחרים סה""כ",84.0065952184666,current_feature,demographic
current_feature__demographic__יוצאים ליישובים אחרים גברים,84.04781533388294,current_feature,demographic
current_feature__demographic__יוצאים ליישובים אחרים גיל 64-30,84.08903544929926,current_feature,demographic
current_feature__demographic__מאזן הגירה פנימית,84.08903544929926,current_feature,demographic
current_feature__demographic__נכנסים מיישובים אחרים גברים,84.08903544929926,current_feature,demographic
current_feature__demographic__נכנסים מיישובים אחרים גיל 64-30,84.08903544929926,current_feature,demographic
"current_feature__demographic__מתגרשים שיעור ל-1,000 תושבים נשואים בני 15 ומעלה",84.13025556471558,current_feature,demographic
current_feature__demographic__נכנסים מיישובים אחרים גיל 29-15,84.13025556471558,current_feature,demographic
current_feature__demographic__נכנסים מיישובים אחרים עד גיל 14,84.1714756801319,current_feature,demographic
previous_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 14-10,84.1714756801319,previous_feature,demographic
previous_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 17-0,84.1714756801319,previous_feature,demographic
previous_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 19-15,84.1714756801319,previous_feature,demographic
previous_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 29-20,84.1714756801319,previous_feature,demographic
previous_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 4-0,84.1714756801319,previous_feature,demographic
previous_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 44-30,84.1714756801319,previous_feature,demographic
previous_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 59-45,84.1714756801319,previous_feature,demographic
previous_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 64-60,84.1714756801319,previous_feature,demographic
previous_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 65 ומעלה,84.1714756801319,previous_feature,demographic
previous_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 75 ומעלה,84.1714756801319,previous_feature,demographic
previous_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 9-5,84.1714756801319,previous_feature,demographic
previous_feature__demographic__אחוז גידול האוכלוסייה לעומת השנה הקודמת,84.1714756801319,previous_feature,demographic
previous_feature__demographic__אחוז עולי 1990+ מסך האוכלוסייה,84.1714756801319,previous_feature,demographic
"previous_feature__demographic__יוצאים ליישובים אחרים סה""כ",84.1714756801319,previous_feature,demographic
"previous_feature__demographic__יחס תלות (ל-1,000 תושבים בלתי תלויים",84.1714756801319,previous_feature,demographic
previous_feature__demographic__לידות חי,84.1714756801319,previous_feature,demographic
"previous_feature__demographic__מאזן הגירה ביישוב
סה""כ",84.1714756801319,previous_feature,demographic
"previous_feature__demographic__סה""כ  אוכלוסייה בסוף השנה",84.1714756801319,previous_feature,demographic
"previous_feature__demographic__סה""כ גברים בסוף השנה",84.1714756801319,previous_feature,demographic
"previous_feature__demographic__סה""כ נשים בסוף השנה",84.1714756801319,previous_feature,demographic
previous_feature__demographic__סך כל הישראלים,84.1714756801319,previous_feature,demographic
previous_feature__demographic__פטירות,84.1714756801319,previous_feature,demographic
"previous_feature__demographic__ריבוי טבעי
סה""כ",84.1714756801319,previous_feature,demographic
"previous_feature__demographic__ריבוי טבעי  ל-1,000 תושבים",84.1714756801319,previous_feature,demographic
current_feature__demographic__יוצאים ליישובים אחרים עד גיל 14,84.25391591096455,current_feature,demographic
delta_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 14-10,84.25391591096455,delta_feature,demographic
delta_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 17-0,84.25391591096455,delta_feature,demographic
delta_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 19-15,84.25391591096455,delta_feature,demographic
delta_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 29-20,84.25391591096455,delta_feature,demographic
delta_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 4-0,84.25391591096455,delta_feature,demographic
delta_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 44-30,84.25391591096455,delta_feature,demographic
delta_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 59-45,84.25391591096455,delta_feature,demographic
delta_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 64-60,84.25391591096455,delta_feature,demographic
delta_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 65 ומעלה,84.25391591096455,delta_feature,demographic
delta_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 75 ומעלה,84.25391591096455,delta_feature,demographic
delta_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 9-5,84.25391591096455,delta_feature,demographic
delta_feature__demographic__אחוז גידול האוכלוסייה לעומת השנה הקודמת,84.25391591096455,delta_feature,demographic
delta_feature__demographic__אחוז עולי 1990+ מסך האוכלוסייה,84.25391591096455,delta_feature,demographic
"delta_feature__demographic__יוצאים ליישובים אחרים סה""כ",84.25391591096455,delta_feature,demographic
"delta_feature__demographic__יחס תלות (ל-1,000 תושבים בלתי תלויים",84.25391591096455,delta_feature,demographic
delta_feature__demographic__לידות חי,84.25391591096455,delta_feature,demographic
"delta_feature__demographic__סה""כ  אוכלוסייה בסוף השנה",84.25391591096455,delta_feature,demographic
"delta_feature__demographic__סה""כ גברים בסוף השנה",84.25391591096455,delta_feature,demographic
"delta_feature__demographic__סה""כ נשים בסוף השנה",84.25391591096455,delta_feature,demographic
delta_feature__demographic__פטירות,84.25391591096455,delta_feature,demographic
"delta_feature__demographic__ריבוי טבעי
סה""כ",84.25391591096455,delta_feature,demographic
"delta_feature__demographic__ריבוי טבעי  ל-1,000 תושבים",84.25391591096455,delta_feature,demographic
"previous_feature__demographic__נישאים סה""כ גברים ונשים",84.25391591096455,previous_feature,demographic
"previous_feature__demographic__נישאים שיעור ל-1,000 תושבים לא נשואים בני 15 ומעלה",84.25391591096455,previous_feature,demographic
previous_feature__welfare_engineered__children_in_families_with_5plus_children_per_1000,84.25391591096455,previous_feature,
