סמל היישוב,שם יישוב,"שכר ממוצע לחודש של שכירים (ש""ח) כלל השכירים","שכר ממוצע לחודש של שכירים (ש""ח) גברים","שכר ממוצע לחודש של שכירים (ש""ח) נשים",אחוז שינוי ריאלי לעומת השנה הקודמת של שכר ממוצע לחודש של שכירים כלל השכירים,אחוז שינוי ריאלי לעומת השנה הקודמת של שכר ממוצע לחודש של שכירים גברים,אחוז שינוי ריאלי לעומת השנה הקודמת של שכר ממוצע לחודש של שכירים נשים,מספר השכירים,אחוז השכירים המשתכרים עד שכר מינימום,מספר העצמאים,"הכנסה ממוצעת לחודש של העצמאים (ש""ח)",אחוז שינוי ריאלי של הכנסה ממוצעת לחודש של העצמאים לעומת השנה הקודמת,אחוז העצמאים המשתכרים עד מחצית השכר הממוצע,"מדד אי-השוויון שכירים (מדד ג'יני, 0 שוויון מלא)"
"1,290",זמר,"7,133.98","8,505.94","5,311.13",2.00,1.48,2.92,"2,983",47.40,347,"8,180.14",-0.59,45.20,0.37
975,זרזיר,"6,512.98","7,948.90","4,449.74",1.17,1.66,0.56,"3,687",48.70,177,"9,997.61",7.07,40.10,0.34
"6,500",חדרה,"9,439.26","11,524.35","7,491.52",2.51,2.58,2.47,"48,802",37.10,"4,157","9,712.55",0.60,41.80,0.41
"6,600",חולון,"10,046.35","12,026.62","8,272.25",3.20,3.58,2.70,"96,404",34.30,"9,984","10,748.69",2.53,37.30,0.41
"1,303",חורה,"6,088.76","6,903.16","4,540.30",-2.60,-2.08,-4.68,"5,382",52.60,273,"11,015.72",17.56,39.90,0.34
496,חורפיש,"8,486.62","11,379.15","4,658.62",-0.70,-0.39,1.85,"2,809",45.80,278,"6,947.71",17.39,54.30,0.42
"4,000",חיפה,"10,798.16","13,280.17","8,424.95",2.96,3.13,2.69,"137,442",37.70,"11,621","11,029.11",-0.47,42.20,0.47
13,חצבה,"11,100.11","13,942.94","8,416.43",1.26,1.40,1.98,"5,278",35.70,446,"10,145.67",-2.35,39.50,0.46
"2,034",חצור הגלילית,"7,823.19","9,597.31","6,082.51",1.98,1.91,2.00,"5,046",42.80,352,"8,460.28",-4.11,41.50,0.38
"1,247",חריש,"9,224.82","11,869.56","6,712.67",-0.59,0.21,-0.16,"4,473",36.60,376,"8,395.07",-6.16,47.30,0.37
"6,700",טבריה,"7,508.23","9,051.31","6,059.39",5.68,6.11,5.32,"22,350",44.60,"1,742","8,512.48",4.43,46.10,0.40
962,טובא-זנגרייה,"6,124.82","7,702.55","4,415.98",-1.14,0.10,-3.32,"3,008",52.60,151,"9,031.91",-8.31,43.70,0.32
498,טורעאן,"6,393.03","7,445.62","4,894.09",0.97,1.16,1.89,"5,665",52.90,652,"10,839.02",-8.38,31.30,0.37
"2,730",טייבה,"6,533.40","7,414.04","5,558.27",3.63,2.78,5.17,"19,364",51.90,"1,763","8,478.28",0.14,42.90,0.37
"2,720",טירה,"6,984.08","7,926.59","5,964.77",1.04,0.88,1.12,"11,392",48.80,"1,163","8,720.55",0.44,38.30,0.37
"2,100",טירת כרמל,"9,024.84","11,037.89","7,130.74",5.86,5.71,6.25,"11,760",36.70,750,"8,893.37",-3.19,43.70,0.39
"8,900",טמרה,"6,122.47","7,301.66","4,750.33",1.59,1.87,2.01,"14,717",54.50,"1,177","9,353.40",-2.74,35.30,0.37
"1,295",יאנוח-ג'ת,"7,991.74","10,637.79","4,633.23",1.86,2.40,1.45,"3,093",45.20,204,"7,102.50",-0.58,49,0.38
46,יבנאל,"7,167.92","8,327.78","6,058.63",2.69,1.29,4.51,"1,481",51.80,208,"7,360.10",-1.67,50.50,0.42
"2,660",יבנה,"10,496.54","12,937.75","8,153.65",3.43,2.68,4.42,"23,260",32.90,"1,944","11,591.36",1.66,33.80,0.42
"9,400",יהוד,"11,837.49","14,365.08","9,504.04",2.90,2.53,3.07,"15,374",31.80,"1,645","12,343.53",0.16,36.30,0.45
29,יסוד המעלה,"10,914.55","13,625.61","8,434.52",0.73,0.99,0.81,"2,449",38.30,176,"12,796.62",-6.24,35.20,0.45
499,יפיע,"6,442.32","7,466.00","4,970.62",2.09,1.96,3.26,"8,210",53.40,695,"9,490.90",1.73,32.50,0.37
240,יקנעם עילית,"11,690.85","14,693.92","8,743.52",2.87,2.82,2.11,"11,956",32,699,"11,418.72",-1.49,36.10,0.43
831,ירוחם,"8,686.85","10,464.19","6,711.95",2.81,3.22,1.92,"5,090",38.50,213,"8,920.95",2.86,43.70,0.39
"3,000",ירושלים,"7,990.49","8,913.56","6,934.95",2.82,3.10,2.41,"331,224",46.20,"27,472","9,618.77",0.35,46.10,0.43
502,ירכא,"7,084.69","8,979.60","4,668.11",1.25,2.19,0.87,"7,149",51.70,709,"8,040.71",-7.73,44.10,0.39
504,כאבול,"6,669.41","7,997.08","4,909.52",1.65,2.47,0.93,"5,172",52.20,407,"7,816.33",-0.13,41.80,0.38
505,כאוכב אבו אל-היג'א,"7,426.09","8,776.38","5,911.67",3.67,2.67,6.55,"1,466",48.90,120,"7,410.32",-11.26,40,0.39
"1,224",כוכב יאיר,"13,721.87","16,921.93","10,575.03",1.20,1.25,1.04,"5,843",35.10,716,"14,559.47",-2.12,31.80,0.49
