שם יישוב,סמל היישוב,"צפיפות אוכלוסייה לקמ''ר ביישובים שמנו 5,000 תושבים ויותר","סה""כ  אוכלוסייה בסוף השנה",סך כל הישראלים,יהודים ואחרים (אחוזים מתוך כלל אוכלוסיית הישראלים),"יהודים 
(אחוזים מתוך יהודים ואחרים)",ערבים (אחוזים מתוך כלל אוכלוסיית הישראלים),מוסלמים (אחוזים מתוך האוכלוסייה הערבית),נוצרים (אחוזים מתוך האוכלוסייה הערבית),דרוזים (אחוזים מתוך האוכלוסייה הערבית),"סה""כ גברים בסוף השנה","סה""כ נשים בסוף השנה",אחוז באוכלוסייה בסוף השנה בני 4-0,אחוז באוכלוסייה בסוף השנה בני 9-5,אחוז באוכלוסייה בסוף השנה בני 14-10,אחוז באוכלוסייה בסוף השנה בני 19-15,אחוז באוכלוסייה בסוף השנה בני 29-20,אחוז באוכלוסייה בסוף השנה בני 44-30,אחוז באוכלוסייה בסוף השנה בני 59-45,אחוז באוכלוסייה בסוף השנה בני 64-60,אחוז באוכלוסייה בסוף השנה בני 65 ומעלה,אחוז באוכלוסייה בסוף השנה בני 17-0,אחוז באוכלוסייה בסוף השנה בני 75 ומעלה,"יחס תלות (ל-1,000 תושבים בלתי תלויים)",לידות חי,שיעור פריון כולל,פטירות תינוקות (ממוצע),"שיעור פטירות תינוקות ל-1,000 לידות חי",פטירות,"שיעור פטירות מתוקנן ל-1,000 תושבים","ריבוי טבעי
סה""כ","ריבוי טבעי  ל-1,000 תושבים",אחוז גידול האוכלוסייה לעומת השנה הקודמת,אחוז עולי 1990+ מסך האוכלוסייה,השתקעות ראשונה של עולים,אחוז עולים בהשתקעות ראשונה בני 17-0,אחוז עולים בהשתקעות ראשונה בני 44-18,אחוז עולים בהשתקעות ראשונה בני 64-45,אחוז עולים בהשתקעות ראשונה בני 65 ומעלה,"מאזן הגירה ביישוב
סה""כ",מאזן הגירה פנימית,"נכנסים מיישובים אחרים סה""כ",נכנסים מיישובים אחרים גברים,נכנסים מיישובים אחרים נשים,נכנסים מיישובים אחרים עד גיל 14,נכנסים מיישובים אחרים גיל 29-15,נכנסים מיישובים אחרים גיל 64-30,נכנסים מיישובים אחרים גיל 65 ומעלה,"יוצאים ליישובים אחרים סה""כ",יוצאים ליישובים אחרים גברים,יוצאים ליישובים אחרים נשים,יוצאים ליישובים אחרים עד גיל 14,יוצאים ליישובים אחרים גיל 29-15,יוצאים ליישובים אחרים גיל 64-30,יוצאים ליישובים אחרים גיל 65 ומעלה,הגירה בתוך הרשות המקומית,"נישאים סה""כ גברים ונשים","נישאים שיעור ל-1,000 תושבים לא נשואים בני 15 ומעלה","מתגרשים סה""כ גברים ונשים","מתגרשים שיעור ל-1,000 תושבים נשואים בני 15 ומעלה"
קריית גת,"2,630","4,124.80","69,763","67,820",99.80,94.40,0.20,93.50,3.20,3.40,"34,505","35,257",12,10.50,8,6.40,12.93,20.44,12.46,4.30,13,34.40,5.20,994.70,"1,586",3.44,3.60,( 2.5),382,5.62,"1,204",17.75,3.60,21.20,123,22.76,47.97,21.95,7.32,"1,247","1,091","3,777","1,903","1,874","1,483","1,019","1,169",106,"2,686","1,387","1,299","1,153",658,800,75,"5,104",674,34.60,229,9.50
קריית טבעון,"2,300","2,041.30","18,697","18,473",99.20,97.30,0.80,69.10,27.70,3.20,"8,976","9,720",5.80,7.20,8,7.80,9.54,16.74,19.73,4.90,20.30,25.80,9.80,964.20,171,1.80,0.40,  ..,113,3.60,58,3.14,1.61,6.30,53,9.43,84.91,1.89,3.77,269,254,901,450,451,271,112,479,39,647,321,326,106,211,278,52,640,79,10.10,64,8.90
קריית ים,"9,600","4,145.10","42,247","41,686",99.70,79.60,0.30,85.50,11.40,3.10,"20,042","22,204",5.60,6,6.10,5.70,10.02,18.34,18.07,6.10,24.10,21.20,10.90,901.90,464,2.04,0.80,  ..,473,5.70,-9,-0.22,4.11,40.60,634,27.13,37.54,23.66,11.67,"1,516",871,"2,553","1,270","1,283",543,521,"1,247",242,"1,682",855,827,323,381,809,169,"2,192",325,19.70,151,9
קריית יערים,"1,137","14,665.40","7,371","7,247",100,99.80,-,100,-,-,"3,760","3,612",17.10,16,11.60,8.90,16.25,16.85,6.36,2.30,4.70,50.50,1.70,"1,397.10",247,..,0.80,  ..,7,4.40,240,33.12,1.91,10.50,37,59.46,27.03,2.70,10.81,-92,-114,224,112,112,94,67,56,7,338,177,161,146,115,74,..,230,101,78.40,7,3.10
קריית מוצקין,"8,200","13,389","51,350","50,561",99.80,88,0.20,70.20,23.50,6.20,"24,330","27,020",6.80,7.40,6.10,5.60,10.41,20.49,16.78,4.80,21.70,23.60,10,905.40,596,1.91,1,( 1.5),428,5.11,168,3.32,2.42,25.60,339,25.66,38.64,22.12,13.57,"1,013",689,"2,884","1,431","1,453",629,611,"1,353",291,"2,195","1,057","1,138",479,520,"1,012",184,"2,052",369,21.20,192,9.60
קריית מלאכי,"1,034","5,982.20","27,395","26,749",99.50,98.50,0.50,100,-,-,"13,981","13,414",11.50,11.10,8.90,7.30,13.44,20.45,11.66,4.40,11.30,36.10,4,"1,001.20",600,3.39,1.20,( 2.0),114,5.39,486,18.17,2.26,13.80,20,40,50,0,10,41,-8,874,429,445,328,275,242,29,882,458,424,297,241,323,21,"1,467",324,40.50,112,11.90
קריית עקרון,469,"4,016.90","11,288","11,167",99,96.90,1,97.90,1.30,0.80,"5,403","5,885",7.60,8.10,7.40,6.70,13.90,19.79,16.36,5.30,14.90,27.10,5.80,807.20,168,2.13,0.60,  ..,61,4.80,107,9.58,-0.65,11,9,11.11,44.44,44.44,0,-136,-147,327,172,155,85,103,130,9,474,218,256,143,108,199,24,192,111,26.70,34,8
קריית שמונה,"2,800","1,686.40","24,254","24,088",95.80,93.60,4.20,33.80,50,16.20,"11,777","12,478",6.60,6.50,6.70,7,19.41,17.33,16.07,5.70,14.70,24.10,5.30,710.40,334,2.09,0.40,  ..,157,5.64,177,7.35,4.41,13.90,31,35.48,32.26,29.03,3.23,841,820,"1,630",719,911,163,"1,066",374,27,810,417,393,191,232,350,37,"1,043",276,29.70,78,9.20
קרני שומרון,"3,640","1,341.40","10,354","10,314",99.90,97,0.10,90.20,9.80,-,"5,275","5,079",11.30,12.50,10.20,8.30,13.88,19.61,10.85,3.80,9.50,39.10,2.80,"1,076.40",226,3.29,0.40,  ..,28,4.30,198,19.20,1.53,10.60,26,11.54,34.62,34.62,19.23,-78,-104,313,165,148,95,86,119,13,417,217,200,143,110,136,28,338,115,46.30,40,10.30
ראמה,543,"1,295.90","8,413","8,386",0.20,55.50,99.80,19.10,48.40,32.50,"4,313","4,099",5.90,7,6.90,6.70,16.25,20.62,18.79,4.90,12.90,23.80,5.60,651.60,96,..,   -,   -,46,5,50,5.96,-0.71,0.50,-,-,-,-,-,-106,-98,81,32,49,15,28,37,..,179,74,105,49,65,62,..,..,100,38.20,17,4.90
ראש העין,"2,640","4,864","77,104","76,296",99.90,96.80,0.10,84.40,12,3.60,"38,253","38,851",10.80,11.20,7.80,5.80,10.97,24.29,15.01,4.60,9.50,33.40,3.10,823.60,"1,387",2.45,3,( 2.0),241,4.38,"1,146",15.02,1.52,7.90,87,33.33,25.29,27.59,13.79,190,304,"2,752","1,368","1,384",727,582,"1,285",158,"2,448","1,270","1,178",731,635,"1,000",82,"2,577",612,28.80,269,9.10
ראשון לציון,"8,300","4,365.20","258,681","253,293",99.80,90.40,0.20,86.20,10.80,3,"126,023","132,657",6.40,6.70,6.30,6,12.64,18.96,18.06,5.30,19.60,23,8.40,817.90,"3,279",2.12,4.80, 1.4,"1,596",4.23,"1,683",6.64,1.32,20.60,"1,425",25.96,40.35,23.44,10.25,"1,189",128,"8,379","4,257","4,122","1,875","2,158","3,856",490,"8,251","4,200","4,051","1,959","1,982","3,767",543,"12,698","2,305",23.90,"1,003",9.10
רהט,"1,161","2,339.50","75,683","75,574",0.30,63.10,99.70,100,-,-,"37,899","37,783",14.90,13.10,11.10,10,20.93,16.39,9.20,1.50,2.90,45.10,1,"1,083.40","2,520",4.06,20.40, 8.6,145,5.60,"2,375",31.43,3.53,0.30,6,100,0,0,0,-3,-49,14,9,5,..,6,6,..,63,26,37,18,23,22,..,8,"1,220",59.10,203,8.40
רחובות,"8,400","6,457.40","153,416","150,027",99.60,94.40,0.40,90.70,6.70,2.60,"74,593","78,823",8.40,9.30,8.80,7,10.76,20.44,15.90,3.80,15.70,30.80,7.20,965.30,"2,272",2.46,3.20,( 1.3),846,4.27,"1,426",9.50,0.89,15.60,795,26.29,34.97,25.66,13.08,121,-301,"4,910","2,573","2,337","1,394","1,218","2,045",253,"5,211","2,689","2,522","1,661","1,271","2,061",218,"7,432","1,235",25.40,526,8.70
ריינה,542,"1,614.30","17,513","17,494",0.10,47.40,99.90,86.60,13.30,-,"8,950","8,563",8,8.60,8.80,8.60,18.59,19.46,15.57,4.50,7.90,30.50,2.40,719.90,286,2.21,0.40,  ..,56,5.20,230,13.15,2.01,0.40,..,..,0,0,0,130,135,381,178,203,99,117,155,10,246,73,173,59,100,81,6,4,225,38.10,34,4.20
רכסים,922,"3,790.90","14,644","14,611",100,99.90,-,..,..,..,"7,502","7,142",17.10,15.50,11.80,9.20,16.01,15.20,7.71,2.20,5.20,50.10,1.90,"1,430.50",518,5.45,2.40,( 4.8),29,4.50,489,33.47,2.44,2.10,8,62.50,37.50,0,0,-167,-174,328,186,142,132,120,70,6,502,296,206,171,222,95,14,673,202,69,34,6.90
רמלה,"8,500","6,297.90","84,312","82,842",73.80,93.20,26.20,80.70,19.20,-,"42,767","41,545",9.30,9.20,8.10,7.20,13.59,20.88,15.30,4.30,12.20,30.90,4.70,848.40,"1,426",2.57,3.20,( 2.1),478,5.55,948,11.44,2.91,17.50,313,15.02,64.54,11.50,8.95,"1,471","1,187","3,500","1,721","1,779","1,100",772,"1,451",177,"2,313","1,196","1,117",753,523,912,125,"4,289",910,34.20,308,9.90
רמת גן,"8,600","10,214.30","167,795","163,530",99.20,93.60,0.80,81.90,11.50,6.60,"80,670","87,125",6.80,6.40,5.80,5.30,13.80,23.52,16.53,4.40,17.50,22.20,9,717.30,"2,289",1.80,2.20,( 0.9),"1,276",4.49,"1,013",6.19,1.15,13,752,23.27,41.62,24.20,10.90,"1,806","1,530","9,927","4,965","4,962","1,433","3,255","4,829",410,"8,397","4,199","4,198","1,541","2,093","4,304",459,"8,127","1,776",23.40,523,8.30
רמת השרון,"2,650","2,921.50","49,002","47,685",99.90,98.50,0.10,87,13,-,"23,560","25,443",5.80,7.80,8.80,8.50,9.46,14.29,20.37,4.50,20.60,27.70,10.80,"1,058.30",440,2.20,0.40,  ..,347,3.72,93,1.95,-0.21,5.50,56,23.21,53.57,17.86,5.36,-209,-212,"1,423",736,687,367,239,698,119,"1,635",840,795,306,475,719,135,"1,760",206,11.80,157,8.10
רמת ישי,122,"3,434.10","8,009","7,971",99.80,97.90,0.20,100,-,-,"3,989","4,020",6.10,8.90,8.30,8.40,11.11,17.29,18.80,5.10,15.90,28.70,4.90,912.20,78,..,   -,   -,24,3.10,54,6.77,0.85,5,4,25,50,0,25,0,24,324,171,153,97,53,153,21,300,143,157,71,79,130,20,256,59,22.30,33,9.40
רעננה,"8,700","5,597.90","83,147","81,388",99.90,97.20,0.10,95.60,2.20,2.30,"40,395","42,752",7.10,7.70,7.90,7.80,10.39,16.18,18.10,4.80,20,27.40,9.30,"1,020.20","1,041",2.64,0.60,  ..,476,3.38,565,6.94,1.31,21.20,530,27.17,46.04,15.66,11.13,169,-147,"2,828","1,479","1,349",731,528,"1,331",238,"2,975","1,487","1,488",556,"1,026","1,159",234,"4,794",588,21.80,251,7.30
שבלי - אום אל-גנם,913,"1,948.70","6,402","6,392",0.10,-,99.90,100,-,-,"3,281","3,121",8.10,8.90,9.30,9.60,19.95,17.71,15.76,3.70,7,32.20,2.60,752.50,98,..,0.40,  ..,17,4.70,81,12.67,0.63,0.40,..,..,0,0,0,-38,-51,53,19,34,13,27,13,..,104,34,70,32,42,30,..,20,70,35.70,18,7.20
שגב-שלום,"1,286","1,139","15,405","15,381",0.20,45.70,99.80,100,-,-,"7,810","7,595",14.30,13.40,11.60,10.90,20.78,15.62,9.62,1.30,2.50,45.70,0.90,"1,114",394,3.63,2.40,( 6.0),12,5.30,382,24.84,2.86,0.70,-,-,-,-,-,-2,..,..,..,..,..,..,..,..,7,..,4,..,5,..,..,..,157,45.80,29,8.20
שדרות,"1,031","3,329.20","35,477","34,894",99.20,94.10,0.80,92.10,4.40,3.60,"18,172","17,305",11.60,9.50,7.60,5.60,18.00,22.41,13.04,4,8.40,32,3.10,741.70,858,3.16,1.60,( 2.0),182,6.61,676,19.37,7.02,20,61,27.87,47.54,14.75,9.84,"1,526","1,482","2,488","1,306","1,182",522,"1,031",886,49,"1,006",524,482,300,324,355,27,"2,502",519,47.40,160,13.50
שוהם,"1,304","3,263.60","23,447","23,260",100,98.70,-,44,7.70,48.20,"11,610","11,836",7,7.40,8.10,9.50,14.07,15.61,22.05,6.60,9.70,27.80,3.20,713.50,276,2.32,   -,   -,63,3.20,213,9.16,4.68,5.20,14,50,35.71,0,14.29,764,775,"1,515",758,757,508,201,724,82,740,381,359,123,326,262,29,"1,608",186,24.30,77,7.90
שחר,7,..,"16,025","15,316",99.80,98.60,0.20,84.60,8.20,7.30,"8,318","7,707",9,11,9.70,7.70,11.71,20.95,13.65,3.40,12.90,34.40,6,"1,012.60",252,2.95,0.40,  ..,71,4.20,181,11.82,3.18,4.90,45,31.11,46.67,13.33,8.89,272,253,729,357,372,295,106,318,10,476,237,239,134,162,173,7,6,132,29.10,39,6.90
שלומי,812,"1,388.20","8,130","8,097",98.20,92.70,1.80,31.30,60.90,7.80,"4,208","3,921",7.20,7.60,8.20,8.10,12.32,19.41,19.46,5,12.60,28.10,4.90,778.40,111,..,0.20,  ..,38,4.40,73,9.02,4.01,16.40,4,0,75,0,25,242,256,536,288,248,125,140,253,18,280,139,141,59,69,140,12,250,72,27.10,35,12.20
שעב,538,"1,420","7,644","7,642",-,54,100,100,-,-,"3,931","3,714",9.40,9.10,8.90,8.40,17.01,20.87,16.82,3.70,5.90,32,2.60,712.40,130,..,0.80,  ..,21,5.90,109,14.26,1.51,0.40,-,-,-,-,-,14,13,70,17,53,20,23,26,..,57,11,46,13,22,22,..,7,102,45.10,20,6.50
שער שומרון,"3,826","5,075.40","8,839","8,801",100,97.10,-,68.40,-,31.60,"4,580","4,259",7.80,10.40,11.90,9.40,11.81,19.79,16.57,3.70,8.60,36.10,3.20,929.10,116,..,0.20,  ..,20,(2.5),96,10.91,2.02,7,5,20,40,0,40,94,92,478,266,212,144,112,214,8,386,215,171,107,95,162,22,337,76,31.60,24,6.90
שפרעם,"8,800","2,206","43,409","43,334",0.40,74.90,99.60,63.80,22.50,13.80,"21,731","21,678",7.50,8.20,8.20,9.50,16.77,19.68,17.78,4.40,8,29.40,3,706.20,581,1.77,1.60,( 2.6),176,5.04,405,9.35,0.84,0.60,5,40,40,0,20,-40,4,392,149,243,122,135,129,6,388,130,258,72,171,138,7,76,490,33.70,107,5.80
תל אביב -יפו,"5,000","9,580.70","495,230","468,745",94.30,93.90,5.70,83.20,16,0.90,"248,686","246,544",6.80,6.30,5.70,4.80,14.31,26.56,16.12,4,15.50,21.70,7.60,638.90,"7,315",1.87,10.60, 1.4,"3,097",4.91,"4,218",9.00,0.13,15.10,"7,191",21.12,48.63,22.75,7.50,"-3,575","-5,988","18,643","9,659","8,984","1,591","9,013","7,180",859,"24,631","12,556","12,075","5,206","4,720","13,448","1,257","33,948","5,328",22.80,"1,520",10
תל מונד,154,"2,046.30","14,590","14,451",99.90,98.70,0.10,90.20,9.80,-,"7,387","7,203",6.50,9.20,10.10,9.80,12.28,15.71,23.13,4.20,9.10,31.70,3.30,808.80,142,2.19,0.40,  ..,48,3.70,94,6.50,1.32,8.10,10,30,40,20,10,61,97,633,311,322,240,73,282,38,536,270,266,124,193,196,23,347,77,16.50,38,6.40
תל שבע,"1,054","2,568.20","24,195","24,195",0.20,61.30,99.80,100,-,-,"12,161","12,034",16.50,14.30,12.50,11.30,18.43,15.20,8.61,1.30,1.90,50,0.70,"1,298.80",812,4.43,8,10.20,49,7.30,763,31.54,3.47,0.30,-,-,-,-,-,19,..,..,..,..,..,..,..,..,4,..,..,..,..,..,..,..,349,59.80,43,6.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
